SMILE,Source,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CN1CCCC1CCNC2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,Pubchem,active,530.555,3.613,3,9,6.910094889
CCCCN1C2=C(C=CC(=C2)OCC3=CC=C(C=C3)F)C4=C1C(=[N+](C=C4)CC5=CC=CC=C5)C.[Br-],Pubchem,active,533.485,3.96092,0,2,6.508638306
FC(F)(F)c1ccc(OC(CCNCc2ccccn2)c2ccccc2)cc1,CHEMBL,active,386.417,5.4004,1,3,7.301029996
CCc1ccc2c(c1)NC(=O)Cc1cnc(Nc3ccc(OC)c(OC)c3)nc1-2,CHEMBL,active,390.443,3.9614,2,6,7.508638306
CC[C@@H]1C2=C(N=CN2C3=CN=C(N=C3N1C(C)C)NC4=C(C=C(C(=C4)F)C(=O)NC5CN(C5)C)OC)C#N,Pubchem,active,519.585,3.14858,2,10,8.769551079
CN(C)CC1CC1c1cccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)c1,CHEMBL,active,433.943,4.7003,2,5,6.886056648
COC(=O)c1sccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)ncc1F,CHEMBL,active,500.556,3.4103,2,10,7.53313238
CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)CC5=CC=CS5,Pubchem,active,450.568,2.5602,2,6,6.27572413
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cncn1CCCCCCCCc1ccc(CCOCc2ccccc2)cc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,CHEMBL,active,997.141,2.7398,8,12,8.013228266
CC(=O)C1=C(C=C(S1)N2C=NC3=CC(=C(C=C32)OC)OC)OCC4=CC=CC=C4C(F)(F)F,Pubchem,active,476.476,5.9046,0,7,7.070581074
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCCCC4=CC=CC=C4)OC,Pubchem,active,437.521,4.2147,1,7,7.214670165
C[C@H](Nc1cc2c(-c3cccc(Cl)c3)noc2cn1)c1ccccc1,CHEMBL,active,349.821,5.7163,1,4,6.204119983
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cncn1CCCCCCCCc1ccccc1-c1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,CHEMBL,active,939.061,2.6475,8,11,7.366531544
CC[C@@H]1c2c(C(N)=O)ncn2-c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CHEMBL,active,573.702,3.5511,3,10,8.698970004
CCNC(=O)c1ncn2c1[C@@H](CC)N(C1CCCC1)c1nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc1-2,CHEMBL,active,601.756,4.2019,3,10,7.346787486
NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1cccc(Cl)c1,CHEMBL,active,383.86,4.4183,1,5,7.657577319
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NCCN(C)C)OCCO)C,Pubchem,active,525.654,2.3867,3,9,7.419987887
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCOCC3)C4=C(NN=C4)C5=NC=CS5)C,Pubchem,active,425.518,2.7306,1,8,6.602059991
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CC=CC=C5)C(=O)N,Pubchem,active,507.537,7.0117,1,5,8.22184875
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCc3ccccc3)nc2N1C1CCCC1,CHEMBL,active,568.722,5.9756,2,7,6.053253065
CN1CCN(CC1)C2=CC(=C(C=C2)OC)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,Pubchem,active,448.531,1.5786,2,9,8
COc1ccc(Nc2ncc3c(C)nc(-c4ccccc4)n3n2)cc1,CHEMBL,active,331.379,3.85192,1,6,6.167491087
CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,CHEMBL,active,402.454,2.3537,0,5,6
C[C@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccccc1Cl,CHEMBL,active,397.887,4.9551,1,5,6.522878745
CCC1C(=O)N(C)c2cnc(Nc3ccc(S(=O)(=O)NCCCO)cc3)nc2N1c1ccn(C)n1,CHEMBL,active,500.585,1.5075,3,10,6.1716624
C[C@H](C1=CC=CC=C1CO)OC2=C(SC(=C2)C3=CN=C4N3C=CC=C4)C(=O)N,Pubchem,active,393.468,3.794,2,6,7.055517328
CCOC(=O)c1ncn2c1[C@@H](CC)N(C1CCCC1)c1nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc1-2,CHEMBL,active,602.74,4.6289,2,11,8.677780705
CC(=O)c1ccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,CHEMBL,active,362.393,2.0208,2,7,6.705533774
COc1cc(CNCc2ccncc2)ccc1OCc1ccc(Cl)cc1,CHEMBL,active,368.864,4.6124,1,4,8.522878745
CCOC1=C(C=CC(=C1)N2CCC(CC2)O)NC3=NC=C4C(=N3)N(CCC(=O)N4C)C5CCCC5,Pubchem,active,480.613,3.6955,2,8,6.795880017
O=C1Cc2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3)nc2-c2ccc(Cl)cc2N1,CHEMBL,active,447.926,4.7076,3,5,7.920818754
C1=CC=C(C(=C1)COC2=C(SC(=C2)N3C=NC4=CC=CC=C43)C(=O)N)Br,Pubchem,active,428.311,4.5274,1,5,7.958607315
